seas,wk,team,sck,saf,blk,ints,frcv,tdd,tdret,pts_allow
2000,4,CIN,0.0,0,0,0,1,0,0,37.0000
2000,4,DET,1.0,0,0,3,2,0,0,14.0000
2000,4,CHI,3.0,0,1,1,0,0,0,21.0000
2000,4,SF,3.0,0,0,1,2,0,0,24.0000
2000,4,DAL,0.0,0,0,0,0,0,0,41.0000
2000,4,DEN,1.0,0,0,2,1,1,0,23.0000
2000,4,KC,1.0,0,0,1,3,0,0,22.0000
2000,4,NE,1.0,0,0,2,1,0,0,10.0000
2000,4,MIA,2.0,0,0,1,1,0,0,3.0000
2000,4,PHI,5.0,0,0,2,2,0,0,7.0000
2000,4,NO,3.0,0,0,0,2,0,0,21.0000
2000,4,OAK,3.0,0,0,2,0,1,0,10.0000
2000,4,CLE,1.0,0,0,0,0,0,0,36.0000
2000,4,TEN,3.0,0,0,0,1,0,0,20.0000
2000,4,PIT,1.0,0,0,3,0,0,0,23.0000
2000,4,SD,5.0,0,0,0,1,0,0,20.0000
2000,4,SEA,2.0,0,0,2,0,1,0,12.0000
2000,4,NYJ,2.0,0,0,2,2,0,0,17.0000
2000,4,TB,1.0,0,0,3,0,1,0,21.0000
2000,4,WAS,4.0,0,0,1,1,0,0,6.0000
2000,4,NYG,1.0,0,0,0,0,0,0,16.0000
2000,4,IND,5.0,1,0,2,0,0,0,14.0000
2000,4,JAC,0.0,0,0,0,1,0,0,43.0000
2000,5,BUF,1.0,0,0,1,0,0,0,18.0000
2000,5,IND,4.0,0,0,0,0,0,0,16.0000
2000,5,CAR,2.0,0,0,2,0,0,0,16.0000
2000,5,DAL,1.0,1,0,0,2,0,0,13.0000
2000,5,MIA,3.0,0,0,0,1,1,0,16.0000
2000,5,CIN,2.0,0,0,1,1,0,0,31.0000
2000,5,BAL,0.0,0,0,3,1,0,0,0.0000
2000,5,CLE,1.0,0,0,1,0,0,0,12.0000
2000,5,NE,4.0,0,0,1,1,0,0,19.0000
2000,5,DEN,3.0,0,0,1,0,0,1,28.0000
2000,5,MIN,2.0,0,0,1,0,0,0,24.0000
2000,5,DET,2.0,0,0,0,0,0,0,31.0000
2000,5,GB,5.0,0,0,0,0,0,0,27.0000
2000,5,CHI,2.0,0,0,1,2,0,0,24.0000
2000,5,PIT,6.0,0,0,1,1,0,0,13.0000
2000,5,JAC,2.0,0,1,1,2,0,0,24.0000
